franchise,movie_title,movie_id,movie_revenue,total_franchise_revenue,percent_franchise_rev
Star Trek,Star Trek: The Motion Picture,152,139000000.0,2267036257.0,6.131353196086091
Star Trek,Star Trek VI: The Undiscovered Country,174,96900000.0,2267036257.0,4.274303055401023
Star Trek,Star Trek V: The Final Frontier,172,70200000.0,2267036257.0,3.096553916296717
Star Trek,Star Trek II: The Wrath of Khan,154,96800000.0,2267036257.0,4.269892009936213
Star Trek,Star Trek III: The Search for Spock,157,87000000.0,2267036257.0,3.8376095543848203
Star Trek,Star Trek IV: The Voyage Home,168,133000000.0,2267036257.0,5.866690468197483
Star Trek,Star Trek: Insurrection,200,118000000.0,2267036257.0,5.205033648475962
Star Trek,Star Trek: Nemesis,201,67312826.0,2267036257.0,2.9691993585085394
Star Trek,Star Trek,13475,385680446.0,2267036257.0,17.012539821942514
Star Trek,Star Trek Into Darkness,54138,467365246.0,2267036257.0,20.615693487781744
Star Trek,Star Trek Beyond,188927,343471816.0,2267036257.0,15.150697962569021
Indiana Jones,Raiders of the Lost Ark,85,389925971.0,1961339569.0,19.88059473040693
Indiana Jones,Indiana Jones and the Last Crusade,89,474171806.0,1961339569.0,24.17591596552346
Indiana Jones,Indiana Jones and the Temple of Doom,87,333000000.0,1961339569.0,16.978192112331776
Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,217,786636033.0,1961339569.0,40.10708015242209
Superman,Superman,1924,300218018.0,2554512067.0,11.752460357432321
Superman,Superman II,8536,190458706.0,2554512067.0,7.455776328497571
Superman,Superman III,9531,75850624.0,2554512067.0,2.9692803169678665
Superman,Superman IV: The Quest for Peace,11411,19300000.0,2554512067.0,0.7555258888506946
Superman,Superman Returns,1452,391081192.0,2554512067.0,15.309428248631562
Fast and the Furious,The Fast and the Furious,9799,207283925.0,5901315134.0,3.512503912996421
Fast and the Furious,2 Fast 2 Furious,584,236350661.0,5901315134.0,4.005050664694769
Fast and the Furious,The Fast and the Furious: Tokyo Drift,9615,158468292.0,5901315134.0,2.685304688898859
Fast and the Furious,Fast & Furious,13804,363164265.0,5901315134.0,6.153954783869367
Fast and the Furious,Fast Five,51497,626137675.0,5901315134.0,10.610137923198732
Fast and the Furious,Fast & Furious 6,82992,788679850.0,5901315134.0,13.364476088661629
Fast and the Furious,Furious 7,168259,1506249360.0,5901315134.0,25.52396077480854
Fast and the Furious,The Fate of the Furious,337339,1238764765.0,5901315134.0,20.991333912384146
Shrek,Shrek,808,484409218.0,3546160710.0,13.660103351604727
Shrek,Shrek 2,809,919838758.0,3546160710.0,25.939003706349222
Shrek,Shrek the Third,810,798958165.0,3546160710.0,22.530230024459325
Shrek,Shrek Forever After,10192,752600867.0,3546160710.0,21.22297686277168
Rocky,Rocky,1366,117235147.0,1513939512.0,7.7437140698656926
Rocky,Rocky II,1367,200182160.0,1513939512.0,13.222599609382543
Rocky,Rocky III,1371,270000000.0,1513939512.0,17.83426602317253
Rocky,Rocky IV,1374,300473716.0,1513939512.0,19.84714142264886
Rocky,Rocky V,1375,119946358.0,1513939512.0,7.922797248454402
Rocky,The Rocky Horror Picture Show,36685,112892319.0,1513939512.0,7.456857959329091
Rocky,Rocky Balboa,1246,155721132.0,1513939512.0,10.285822568583573
Rocky,Creed,312221,173567581.0,1513939512.0,11.464631157602021
Pirates of the Caribbean,Pirates of the Caribbean: The Curse of the Black Pearl,22,655011224.0,4517852068.0,14.498288437539872
Pirates of the Caribbean,Pirates of the Caribbean: Dead Man's Chest,58,1065659812.0,4517852068.0,23.58775355988482
Pirates of the Caribbean,Pirates of the Caribbean: At World's End,285,961000000.0,4517852068.0,21.271170138720883
Pirates of the Caribbean,Pirates of the Caribbean: On Stranger Tides,1865,1045713802.0,4517852068.0,23.14626035249811
Pirates of the Caribbean,Pirates of the Caribbean: Dead Men Tell No Tales,166426,794191988.0,4517852068.0,17.57897284032984
Transformers,Transformers,1858,709709780.0,4846579018.0,14.643520251380743
Transformers,Transformers: Revenge of the Fallen,8373,836297228.0,4846579018.0,17.255413042767394
Transformers,Transformers: Dark of the Moon,38356,1123746996.0,4846579018.0,23.18639584388181
Transformers,Transformers: Age of Extinction,91314,1091405097.0,4846579018.0,22.519081870873563
Transformers,Transformers: The Last Knight,335988,604942143.0,4846579018.0,12.48183802953112
Toy Story,Toy Story,862,373554033.0,3054046196.0,12.231446711227154
Toy Story,Toy Story 2,863,497366869.0,3054046196.0,16.285505754674574
Toy Story,Toy Story 3,10193,1066969703.0,3054046196.0,34.936266006632465
Jaws,Jaws,578,470654000.0,737573891.0,63.811098215785414
Jaws,Jaws 2,579,187884007.0,737573891.0,25.47324536464646
Jaws,Jaws 3-D,17692,87987055.0,737573891.0,11.929252929588854
Jaws,Jaws: The Revenge,580,51881013.0,737573891.0,7.03400888142338
Hunger Games,The Hunger Games,70160,691210692.0,2958353344.0,23.36471041912159
Hunger Games,The Hunger Games: Catching Fire,101299,847423452.0,2958353344.0,28.64510602557691
Hunger Games,The Hunger Games: Mockingjay - Part 1,131631,752100229.0,2958353344.0,25.42293436736947
Hunger Games,The Hunger Games: Mockingjay - Part 2,131634,653428261.0,2958353344.0,22.08756646075608
Twilight,Twilight,8966,392616625.0,3317470739.0,11.834818025202784
Twilight,The Twilight Saga: New Moon,18239,709827462.0,3317470739.0,21.396645753504565
Twilight,The Twilight Saga: Eclipse,24021,698491347.0,3317470739.0,21.05493618341753
Twilight,The Twilight Saga: Breaking Dawn - Part 1,50619,712171856.0,3317470739.0,21.467313867391432
Twilight,The Twilight Saga: Breaking Dawn - Part 2,50620,829000000.0,3317470739.0,24.988916714601956
Mission: Impossible,Mission: Impossible,954,457696359.0,3577703029.0,12.79302265420085
Mission: Impossible,Mission: Impossible II,955,546388105.0,3577703029.0,15.272036291752263
Mission: Impossible,Mission: Impossible III,956,397850012.0,3577703029.0,11.120263721586825
Mission: Impossible,Mission: Impossible - Ghost Protocol,56292,694713380.0,3577703029.0,19.417860408446998
Mission: Impossible,Mission: Impossible - Rogue Nation,177677,682330139.0,3577703029.0,19.071737745396867
