Franchise,Movie Title,Movie Revenue,Total Franchise Revenue,% of Total Franchise Revenue
Fly,The Fly,3000000.0,57026528.0,5.260709542057339
Fly,The Fly,60629159.0,57026528.0,106.31746509273718
Fly,The Fly II,38903179.0,57026528.0,68.21944166055489
Bean,Bean,251212670.0,491555470.0,51.105660567666966
Bean,Mr. Bean's Holiday,229736344.0,491555470.0,46.73660614538579
Dolphin Tale,Dolphin Tale,95404397.0,153893257.0,61.99387735357372
Dolphin Tale,Dolphin Tale 2,52424533.0,153893257.0,34.06551659375173
Mean Girls,Mean Girls,129042871.0,130953026.0,98.54134336689555
Jingle All the Way,Jingle All the Way,129832389.0,129832389.0,100.0
Sin City,Sin City,158733820.0,199178760.0,79.69415011921954
Sin City,Sin City: A Dame to Kill For,39407616.0,199178760.0,19.785049369721953
Beverly Hills Chihuahua,Beverly Hills Chihuahua,149281606.0,154218168.0,96.79897507276833
Beverly Hills Chihuahua,Beverly Hills Chihuahua 2,12000000.0,154218168.0,7.781184380299473
Open Season,Open Season,197309027.0,212047685.0,93.04936623099658
Last Picture Show,The Last Picture Show,29133000.0,22773266.0,127.92631500461988
Jeepers Creepers,Jeepers Creepers,59217789.0,182497271.0,32.44858877917139
Jeepers Creepers,Jeepers Creepers 2,63102666.0,182497271.0,34.57732033702575
Road Trip,Road Trip,119754278.0,119739110.0,100.01266754028822
Bring It On,Bring It On,90449929.0,90453550.0,99.99599684036724
Harold & Kumar,Harold & Kumar Go to White Castle,23936908.0,99017018.0,24.17453937059587
Harold & Kumar,Harold & Kumar Escape from Guantanamo Bay,43493123.0,99017018.0,43.92489682935109
Harold & Kumar,A Very Harold & Kumar Christmas,35387212.0,99017018.0,35.73851517120017
High School Musical,High School Musical 2,7000000.0,279277272.0,2.506469627789833
Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,39053061.0,85830248.0,45.5003473833607
Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants 2,44352417.0,85830248.0,51.6745763102071
Urban Legend,Urban Legend,72527595.0,111146226.0,65.25421295006454
Urban Legend,Urban Legends: Final Cut,38574362.0,111146226.0,34.70595753741562
Bad Santa,Bad Santa,76488889.0,100492144.0,76.11429705390702
Bad Santa,Bad Santa 2,17782178.0,100492144.0,17.6950926631638
Starship Troopers,Starship Troopers,121214377.0,121100000.0,100.09444838976054
The Land Before Time,The Land Before Time,84460846.0,81972846.0,103.03515142075219
Evil Dead,Evil Dead II,5923044.0,154607509.0,3.8310196175529874
Evil Dead,The Evil Dead,29400000.0,154607509.0,19.015893982225663
